datetime;hour;min;hourmin;count0;count2;perc0;perc2;dec;lbl
201308011823;18;23;1823;1;0;1;0;2;0
201307191622;16;22;1622;1;0;1;0;2;0
201306181821;18;21;1821;0;2;0;1;2;0
201306241533;15;33;1533;0;1;0;1;2;0
201308211330;13;30;1330;3;2;0.6;0.4;2;0
201307301735;17;35;1735;1;0;1;0;2;0
201307221722;17;22;1722;1;0;1;0;2;0
201308211333;13;33;1333;0;1;0;1;2;0
201308191755;17;55;1755;1;0;1;0;2;0
201308211334;13;34;1334;0;1;0;1;2;0
201308061511;15;11;1511;1;0;1;0;2;0
201306031330;13;30;1330;6;2;0.75;0.25;2;2
201306031619;16;19;1619;1;0;1;0;2;0
201308301330;13;30;1330;1;0;1;0;2;0
201306241549;15;49;1549;1;0;1;0;2;0
201307051601;16;01;1601;1;0;1;0;2;0
201306131522;15;22;1522;1;0;1;0;2;0
201307021330;13;30;1330;1;0;1;0;2;0
201308071834;18;34;1834;0;1;0;1;2;0
201308221630;16;30;1630;1;0;1;0;2;0
201307301330;13;30;1330;1;1;0.5;0.5;2;0
201307101330;13;30;1330;0;1;0;1;2;0
201307231602;16;02;1602;1;0;1;0;2;0
201306281934;19;34;1934;0;1;0;1;2;0
201306041607;16;07;1607;2;0;1;0;2;0
201306131720;17;20;1720;1;0;1;0;2;0
201307231400;14;00;1400;1;0;1;0;2;0
201306071703;17;03;1703;2;0;1;0;2;0
201307151330;13;30;1330;1;0;1;0;2;2
201307231401;14;01;1401;1;0;1;0;2;0
201307301436;14;36;1436;0;1;0;1;2;0
201307231402;14;02;1402;1;0;1;0;2;0
201307301430;14;30;1430;1;0;1;0;2;0
201306181513;15;13;1513;0;1;0;1;2;0
201307231808;18;08;1808;0;1;0;1;2;0
201306031533;15;33;1533;2;0;1;0;2;0
201308271653;16;53;1653;1;0;1;0;2;0
201307311634;16;34;1634;1;1;0.5;0.5;2;0
201308131500;15;00;1500;1;0;1;0;2;0
201307091727;17;27;1727;1;0;1;0;2;0
201306071553;15;53;1553;4;0;1;0;2;0
201307051517;15;17;1517;1;0;1;0;2;0
201307171908;19;08;1908;0;1;0;1;2;0
201307101345;13;45;1345;1;0;1;0;2;0
201307171903;19;03;1903;3;0;1;0;2;0
201307171904;19;04;1904;1;0;1;0;2;0
201306101330;13;30;1330;3;1;0.75;0.25;2;0
201308071330;13;30;1330;2;2;0.5;0.5;2;0
201307311330;13;30;1330;5;6;0.45;0.55;2;0
201307231614;16;14;1614;1;0;1;0;2;0
201306181844;18;44;1844;2;0;1;0;2;0
201307231410;14;10;1410;1;0;1;0;2;0
201307181330;13;30;1330;18;11;0.62;0.38;0;0
201307231815;18;15;1815;1;0;1;0;2;0
201308081555;15;55;1555;1;0;1;0;2;0
201306131852;18;52;1852;0;1;0;1;2;0
201306181330;13;30;1330;2;1;0.67;0.33;2;0
201306131854;18;54;1854;1;0;1;0;2;0
201307021740;17;40;1740;0;1;0;1;2;0
201307251348;13;48;1348;1;0;1;0;2;0
201308271341;13;41;1341;1;0;1;0;2;0
201307231836;18;36;1836;0;1;0;1;2;0
201309031448;14;48;1448;1;0;1;0;2;0
201307231424;14;24;1424;1;0;1;0;2;0
201307181945;19;45;1945;0;1;0;1;2;0
201307231425;14;25;1425;2;0;1;0;2;0
201307231420;14;20;1420;1;0;1;0;2;0
201303211330;13;30;1330;0;9;0;1;2;2
201307231422;14;22;1422;1;0;1;0;2;0
201306131440;14;40;1440;1;0;1;0;2;0
201308061340;13;40;1340;0;1;0;1;2;0
201307231730;17;30;1730;3;1;0.75;0.25;2;0
201307171910;19;10;1910;0;1;0;1;2;0
201309041641;16;41;1641;1;0;1;0;2;0
201307171814;18;14;1814;2;0;1;0;2;0
201306271640;16;40;1640;1;0;1;0;2;0
201307311954;19;54;1954;0;1;0;1;2;0
