datetime;hour;min;hourmin;count0;count2;perc0;perc2;dec;lbl
201306101336;13;36;1336;1;0;1;0;2;0
201308071826;18;26;1826;1;0;1;0;2;0
201308061504;15;04;1504;1;0;1;0;2;0
201306131513;15;13;1513;1;0;1;0;2;0
201306101330;13;30;1330;22;3;0.88;0.12;0;0
201306241559;15;59;1559;1;0;1;0;2;0
201307161823;18;23;1823;1;0;1;0;2;0
201308151433;14;33;1433;1;0;1;0;2;0
201308121806;18;06;1806;1;0;1;0;2;0
201306201627;16;27;1627;1;0;1;0;2;0
201307051419;14;19;1419;1;0;1;0;2;0
201308071439;14;39;1439;1;0;1;0;2;0
201306131516;15;16;1516;1;0;1;0;2;0
201307181330;13;30;1330;14;5;0.74;0.26;0;0
201308121800;18;00;1800;3;0;1;0;2;0
201308221330;13;30;1330;11;1;0.92;0.08;0;0
201306241947;19;47;1947;1;0;1;0;2;0
201308221729;17;29;1729;1;0;1;0;2;0
201307231817;18;17;1817;1;0;1;0;2;0
201308051821;18;21;1821;1;0;1;0;2;0
201306211737;17;37;1737;1;0;1;0;2;0
201308071400;14;00;1400;1;0;1;0;2;0
201306181330;13;30;1330;6;0;1;0;2;0
201306211735;17;35;1735;1;0;1;0;2;0
201307031558;15;58;1558;0;1;0;1;2;0
201308071404;14;04;1404;1;0;1;0;2;0
201306121646;16;46;1646;1;0;1;0;2;0
201308121814;18;14;1814;1;0;1;0;2;0
201306041439;14;39;1439;1;0;1;0;2;0
201306181743;17;43;1743;2;0;1;0;2;0
201306201658;16;58;1658;2;0;1;0;2;0
201308121815;18;15;1815;1;0;1;0;2;0
201306121641;16;41;1641;2;0;1;0;2;0
201307221350;13;50;1350;0;1;0;1;2;0
201306261848;18;48;1848;1;0;1;0;2;0
201307221353;13;53;1353;1;0;1;0;2;0
201307171913;19;13;1913;1;0;1;0;2;0
201309031444;14;44;1444;2;0;1;0;2;0
201306141947;19;47;1947;1;0;1;0;2;0
201306211535;15;35;1535;1;0;1;0;2;0
201306181335;13;35;1335;1;0;1;0;2;0
201308071410;14;10;1410;1;0;1;0;2;0
201306071743;17;43;1743;2;0;1;0;2;0
201308081800;18;00;1800;0;1;0;1;2;0
201308071416;14;16;1416;1;0;1;0;2;0
201307111744;17;44;1744;1;0;1;0;2;0
201308071418;14;18;1418;0;1;0;1;2;0
201308071419;14;19;1419;1;0;1;0;2;0
201308211857;18;57;1857;1;0;1;0;2;0
201306201851;18;51;1851;1;0;1;0;2;0
201308221519;15;19;1519;1;0;1;0;2;0
201308211856;18;56;1856;2;0;1;0;2;0
201307171926;19;26;1926;1;0;1;0;2;0
201307261828;18;28;1828;1;0;1;0;2;0
201307031536;15;36;1536;1;0;1;0;2;0
201308011407;14;07;1407;1;0;1;0;2;0
201307031538;15;38;1538;0;1;0;1;2;0
201307241535;15;35;1535;1;0;1;0;2;0
201307051447;14;47;1447;1;0;1;0;2;0
201308191830;18;30;1830;1;0;1;0;2;0
201308121836;18;36;1836;1;0;1;0;2;0
201307171931;19;31;1931;1;0;1;0;2;0
201307191425;14;25;1425;0;1;0;1;2;0
201309061330;13;30;1330;10;1;0.91;0.09;0;0
201307301908;19;08;1908;2;0;1;0;2;0
201308021330;13;30;1330;5;1;0.83;0.17;2;0
201306241713;17;13;1713;1;0;1;0;2;0
201306181754;17;54;1754;1;0;1;0;2;0
201306241515;15;15;1515;1;0;1;0;2;0
201307051849;18;49;1849;1;0;1;0;2;0
201308011802;18;02;1802;1;0;1;0;2;0
201309051633;16;33;1633;1;0;1;0;2;0
201307191414;14;14;1414;1;0;1;0;2;0
201306211544;15;44;1544;1;0;1;0;2;0
201309041607;16;07;1607;1;0;1;0;2;0
201306191551;15;51;1551;2;0;1;0;2;0
201306111810;18;10;1810;1;0;1;0;2;0
201309061505;15;05;1505;1;0;1;0;2;0
201309041818;18;18;1818;1;0;1;0;2;0
201309041600;16;00;1600;1;0;1;0;2;0
201307081506;15;06;1506;1;0;1;0;2;0
201306171827;18;27;1827;1;0;1;0;2;0
201306111814;18;14;1814;2;0;1;0;2;0
201306241722;17;22;1722;1;0;1;0;2;0
201306171821;18;21;1821;1;0;1;0;2;0
201306171824;18;24;1824;1;0;1;0;2;0
201309051852;18;52;1852;1;0;1;0;2;0
201309041803;18;03;1803;2;0;1;0;2;0
201308211819;18;19;1819;1;0;1;0;2;0
201306121330;13;30;1330;18;2;0.9;0.1;0;0
